adId,link,area,price,pricePerMeter,date
63829558,https://www.otodom.pl/pl/oferta/rozkladowe-4-pokoje-z-balkonem-ID4jOZ0,72.3,399000.0,5519.0,2023-01-09
63828588,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-pabianice-piaski-ID4jOJm,33.0,219000.0,6636.0,2023-01-09
63828487,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokojowe-61-6-m2-ID4jOHJ,61.6,369000.0,5990.0,2023-01-09
